2024-02-19 15:37:48,840 INFO    MainThread:12140 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-02-19 15:37:48,842 INFO    MainThread:12140 [wandb_setup.py:_flush():76] Configure stats pid to 12140
2024-02-19 15:37:48,842 INFO    MainThread:12140 [wandb_setup.py:_flush():76] Loading settings from C:\Users\glebk\.config\wandb\settings
2024-02-19 15:37:48,842 INFO    MainThread:12140 [wandb_setup.py:_flush():76] Loading settings from D:\Study\BP\wandb\settings
2024-02-19 15:37:48,842 INFO    MainThread:12140 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-02-19 15:37:48,842 INFO    MainThread:12140 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'scripts\\sweep_training.py', 'program_abspath': 'D:\\Study\\BP\\scripts\\sweep_training.py', 'program': 'D:\\Study\\BP\\scripts\\sweep_training.py'}
2024-02-19 15:37:48,842 INFO    MainThread:12140 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-02-19 15:37:48,842 INFO    MainThread:12140 [wandb_init.py:_log_setup():526] Logging user logs to D:\Study\BP\wandb\offline-run-20240219_153748-qv5femeb\logs\debug.log
2024-02-19 15:37:48,842 INFO    MainThread:12140 [wandb_init.py:_log_setup():527] Logging internal logs to D:\Study\BP\wandb\offline-run-20240219_153748-qv5femeb\logs\debug-internal.log
2024-02-19 15:37:48,842 INFO    MainThread:12140 [wandb_init.py:init():566] calling init triggers
2024-02-19 15:37:48,842 INFO    MainThread:12140 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {'learning_rate': 1e-05, 'dataset': 'heart_2022_no_nans', 'epochs': 6}
2024-02-19 15:37:48,842 INFO    MainThread:12140 [wandb_init.py:init():616] starting backend
2024-02-19 15:37:48,842 INFO    MainThread:12140 [wandb_init.py:init():620] setting up manager
2024-02-19 15:37:48,844 INFO    MainThread:12140 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-02-19 15:37:48,846 INFO    MainThread:12140 [wandb_init.py:init():628] backend started and connected
2024-02-19 15:37:48,850 INFO    MainThread:12140 [wandb_init.py:init():720] updated telemetry
2024-02-19 15:37:48,886 INFO    MainThread:12140 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-02-19 15:37:48,890 INFO    MainThread:12140 [wandb_init.py:init():804] starting run threads in backend
2024-02-19 15:37:49,024 INFO    MainThread:12140 [wandb_run.py:_console_start():2241] atexit reg
2024-02-19 15:37:49,024 INFO    MainThread:12140 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-02-19 15:37:49,024 INFO    MainThread:12140 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-02-19 15:37:49,024 INFO    MainThread:12140 [wandb_run.py:_redirect():2186] Redirects installed.
2024-02-19 15:37:49,025 INFO    MainThread:12140 [wandb_init.py:init():847] run started, returning control to user process
2024-02-19 15:37:49,399 INFO    MainThread:12140 [pyagent.py:run():324] Starting sweep agent: entity=None, project=None, count=10
2024-02-19 15:37:51,470 WARNING MsgRouterThr:12140 [router.py:message_loop():77] message_loop has been closed
